client	date	weekday	paymethod	value	product
67063	23-Dec-97	Tuesday	card	40015	clothes
67799	24-Dec-97	Wednesday	card	16972	clothes
68058	01-Dec-97	Monday	money	49886	dairy
68104	19-Dec-97	Friday	bankcheck	1233	canned
68489	01-Dec-97	Monday	bankcheck	22568	fish
68501	29-Dec-97	Monday	bankcheck	15373	dairy
69110	23-Dec-97	Tuesday	money	11849	fruitvegs
69934	05-Dec-97	Friday	bankcheck	31179	fish
69965	10-Dec-97	Wednesday	card	38787	fruitvegs
70018	23-Dec-97	Tuesday	bankcheck	42800	fruitvegs
70359	17-Dec-97	Wednesday	bankcheck	35114	dairy
70481	14-Dec-97	Sunday	bankcheck	31700	spirit drinks
70858	24-Dec-97	Wednesday	money	20946	fruitvegs
70998	22-Dec-97	Monday	card	3651	meat
71600	26-Dec-97	Friday	bankcheck	47323	meat
71604	20-Dec-97	Saturday	card	18172	dairy
71607	23-Dec-97	Tuesday	money	23498	fruitvegs
71690	25-Dec-97	Thursday	money	13636	fruitvegs
71832	27-Dec-97	Saturday	card	35878	fish
71887	11-Dec-97	Thursday	money	3007	fish
72200	28-Dec-97	Sunday	money	12453	fruitvegs
72299	17-Dec-97	Wednesday	bankcheck	24027	fish
72900	15-Dec-97	Monday	card	14464	dairy
73441	21-Dec-97	Sunday	card	21357	fish
73708	23-Dec-97	Tuesday	bankcheck	43307	canned
75274	12-Dec-97	Friday	card	32288	fruitvegs
76264	13-Dec-97	Saturday	bankcheck	160	fish
76567	15-Dec-97	Monday	card	4225	fish
77218	09-Dec-97	Tuesday	card	38272	fruitvegs
77232	28-Dec-97	Sunday	bankcheck	28794	dairy
78639	07-Dec-97	Sunday	money	32069	fish
79001	16-Dec-97	Tuesday	card	38552	fish
79303	01-Dec-97	Monday	money	39650	fruitvegs
79384	12-Dec-97	Friday	card	22456	fish
79890	15-Dec-97	Monday	bankcheck	37434	dairy
80297	21-Dec-97	Sunday	bankcheck	37275	fish
80617	07-Dec-97	Sunday	bankcheck	10201	fish
81825	28-Dec-97	Sunday	card	25071	dairy
81836	18-Dec-97	Thursday	bankcheck	32952	frozen_meals
81851	03-Dec-97	Wednesday	card	13984	fruitvegs
81971	24-Dec-97	Wednesday	money	19367	fruitvegs
82096	29-Dec-97	Monday	money	44539	charcuterie
82173	04-Dec-97	Thursday	money	15751	fish
83102	19-Dec-97	Friday	money	48008	frozen_meals
83127	21-Dec-97	Sunday	bankcheck	41290	dairy
83439	26-Dec-97	Friday	card	33498	meat
83500	27-Dec-97	Saturday	card	49250	canned
83536	29-Dec-97	Monday	money	31937	charcuterie
83650	02-Dec-97	Tuesday	money	33558	dairy
84092	11-Dec-97	Thursday	card	34850	fruitvegs
84148	04-Dec-97	Thursday	bankcheck	49179	fish
84756	10-Dec-97	Wednesday	card	29198	fish
84903	23-Dec-97	Tuesday	card	32805	frozen_meals
85182	19-Dec-97	Friday	card	119	fish
85472	22-Dec-97	Monday	card	14503	clothes
85699	29-Dec-97	Monday	money	18169	fish
86331	09-Dec-97	Tuesday	card	45452	charcuterie
86983	27-Dec-97	Saturday	card	43345	dairy
87066	30-Dec-97	Tuesday	card	10864	dairy
87101	04-Dec-97	Thursday	bankcheck	23097	meat
87151	25-Dec-97	Thursday	bankcheck	44118	meat
87450	09-Dec-97	Tuesday	card	48205	frozen_meals
87703	11-Dec-97	Thursday	money	27709	dairy
87793	16-Dec-97	Tuesday	money	46884	fish
87953	12-Dec-97	Friday	card	16210	meat
87975	21-Dec-97	Sunday	card	278	fish
88549	20-Dec-97	Saturday	card	37593	fruitvegs
88972	22-Dec-97	Monday	money	31855	dairy
89302	24-Dec-97	Wednesday	card	20489	dairy
89425	20-Dec-97	Saturday	bankcheck	28862	fish
89559	12-Dec-97	Friday	bankcheck	24381	meat
89649	13-Dec-97	Saturday	bankcheck	26962	clothes
89958	29-Dec-97	Monday	money	34424	meat
90264	13-Dec-97	Saturday	card	10497	fruitvegs
90562	02-Dec-97	Tuesday	money	29009	dairy
91117	09-Dec-97	Tuesday	card	33610	fish
91928	11-Dec-97	Thursday	card	12364	spirit drinks
91972	27-Dec-97	Saturday	card	49158	fish
93037	19-Dec-97	Friday	money	19176	fish
93162	18-Dec-97	Thursday	card	46841	fish
93401	05-Dec-97	Friday	card	45796	fish
93469	19-Dec-97	Friday	bankcheck	32766	dairy
93891	13-Dec-97	Saturday	card	36595	fruitvegs
94015	06-Dec-97	Saturday	bankcheck	48200	fish
94467	19-Dec-97	Friday	money	18959	canned
94754	04-Dec-97	Thursday	money	45086	fish
94790	05-Dec-97	Friday	card	39701	dairy
95026	06-Dec-97	Saturday	money	13423	dairy
95354	05-Dec-97	Friday	bankcheck	35397	frozen_meals
95604	06-Dec-97	Saturday	bankcheck	23506	beer
95655	20-Dec-97	Saturday	money	25580	canned
96076	17-Dec-97	Wednesday	money	24441	fish
96694	18-Dec-97	Thursday	card	28276	charcuterie
97267	25-Dec-97	Thursday	bankcheck	33062	clothes
97287	23-Dec-97	Tuesday	bankcheck	35371	fish
97761	02-Dec-97	Tuesday	card	32318	canned
97967	07-Dec-97	Sunday	money	11514	dairy
98023	10-Dec-97	Wednesday	card	26365	frozen_meals
98352	14-Dec-97	Sunday	card	46063	meat
98626	03-Dec-97	Wednesday	bankcheck	2750	canned
98809	24-Dec-97	Wednesday	card	45590	fish
98836	27-Dec-97	Saturday	money	38603	fish
99292	08-Dec-97	Monday	card	3990	spirit drinks
99457	06-Dec-97	Saturday	card	38201	dairy
99575	11-Dec-97	Thursday	card	19213	dairy
100047	16-Dec-97	Tuesday	bankcheck	24196	fish
100328	02-Dec-97	Tuesday	bankcheck	30410	beer
100393	10-Dec-97	Wednesday	money	28775	fish
100754	01-Dec-97	Monday	bankcheck	11329	dairy
101722	21-Dec-97	Sunday	bankcheck	15723	dairy
102421	28-Dec-97	Sunday	money	19228	meat
102733	13-Dec-97	Saturday	money	28515	fruitvegs
103385	05-Dec-97	Friday	money	22830	beer
103708	10-Dec-97	Wednesday	money	2606	fish
103749	23-Dec-97	Tuesday	card	34751	fish
104111	22-Dec-97	Monday	card	27453	fish
104554	27-Dec-97	Saturday	money	19063	frozen_meals
104830	30-Dec-97	Tuesday	money	21427	fish
106044	02-Dec-97	Tuesday	card	36134	canned
106531	14-Dec-97	Sunday	money	11658	frozen_meals
106649	08-Dec-97	Monday	card	25812	charcuterie
107876	11-Dec-97	Thursday	bankcheck	21893	wine
108003	14-Dec-97	Sunday	card	12510	dairy
108601	18-Dec-97	Thursday	money	14122	wine
108718	18-Dec-97	Thursday	money	15621	dairy
108764	16-Dec-97	Tuesday	money	44629	fish
108832	20-Dec-97	Saturday	bankcheck	27860	fish
108855	24-Dec-97	Wednesday	card	32842	fish
109048	21-Dec-97	Sunday	card	42580	charcuterie
109224	03-Dec-97	Wednesday	bankcheck	20095	dairy
109884	23-Dec-97	Tuesday	card	35822	meat
10360	08-Dec-97	Monday	bankcheck	27401	charcuterie
10451	05-Dec-97	Friday	bankcheck	15017	beer
10645	09-Dec-97	Tuesday	card	18480	fruitvegs
10872	07-Dec-97	Sunday	money	20618	frozen_meals
10944	08-Dec-97	Monday	card	45328	beer
11220	03-Dec-97	Wednesday	card	23632	beer
11241	18-Dec-97	Thursday	bankcheck	33890	fruitvegs
11565	26-Dec-97	Friday	money	44974	canned
12547	27-Dec-97	Saturday	card	32307	charcuterie
12782	20-Dec-97	Saturday	bankcheck	31330	charcuterie
12938	27-Dec-97	Saturday	bankcheck	49484	spirit drinks
13893	10-Dec-97	Wednesday	card	24804	dairy
13903	20-Dec-97	Saturday	money	29165	meat
14015	20-Dec-97	Saturday	money	31866	clothes
14301	15-Dec-97	Monday	money	39917	fish
14630	15-Dec-97	Monday	money	19579	canned
14692	12-Dec-97	Friday	card	40888	canned
14743	15-Dec-97	Monday	money	21681	wine
14759	07-Dec-97	Sunday	card	14867	spirit drinks
14891	05-Dec-97	Friday	money	1839	canned
14912	25-Dec-97	Thursday	bankcheck	39156	frozen_meals
14996	14-Dec-97	Sunday	money	22259	clothes
15099	14-Dec-97	Sunday	card	11273	canned
15306	01-Dec-97	Monday	money	22325	charcuterie
15590	02-Dec-97	Tuesday	money	44070	dairy
15882	04-Dec-97	Thursday	money	20704	canned
16220	23-Dec-97	Tuesday	bankcheck	34787	beer
17110	08-Dec-97	Monday	money	12721	canned
17201	25-Dec-97	Thursday	card	37775	fish
18126	24-Dec-97	Wednesday	card	34713	canned
18228	21-Dec-97	Sunday	money	31728	canned
18464	23-Dec-97	Tuesday	card	20939	canned
18517	08-Dec-97	Monday	card	42509	beer
18708	10-Dec-97	Wednesday	money	30787	frozen_meals
18917	06-Dec-97	Saturday	card	47935	canned
18920	02-Dec-97	Tuesday	money	45368	canned
19041	12-Dec-97	Friday	card	14682	canned
19209	19-Dec-97	Friday	card	4637	charcuterie
19211	18-Dec-97	Thursday	card	35954	canned
19999	05-Dec-97	Friday	card	17161	fish
20260	06-Dec-97	Saturday	bankcheck	13124	clothes
20521	23-Dec-97	Tuesday	money	46	fruitvegs
20849	11-Dec-97	Thursday	money	44982	dairy
20991	22-Dec-97	Monday	card	37508	canned
21543	03-Dec-97	Wednesday	bankcheck	13918	canned
21814	26-Dec-97	Friday	card	22374	meat
22316	09-Dec-97	Tuesday	money	29758	wine
23037	11-Dec-97	Thursday	money	46016	spirit drinks
23419	13-Dec-97	Saturday	money	15620	wine
23682	29-Dec-97	Monday	bankcheck	29718	beer
23718	16-Dec-97	Tuesday	bankcheck	37861	wine
24210	23-Dec-97	Tuesday	card	30434	canned
24566	11-Dec-97	Thursday	card	39449	wine
24864	04-Dec-97	Thursday	money	24668	fruitvegs
25097	01-Dec-97	Monday	money	20010	spirit drinks
25524	24-Dec-97	Wednesday	card	45949	canned
25774	23-Dec-97	Tuesday	money	3877	fish
26061	27-Dec-97	Saturday	money	47054	frozen_meals
26130	11-Dec-97	Thursday	bankcheck	12621	canned
26396	13-Dec-97	Saturday	card	22765	canned
26885	22-Dec-97	Monday	money	33186	beer
27306	02-Dec-97	Tuesday	bankcheck	17391	beer
27694	12-Dec-97	Friday	card	24895	beer
28061	06-Dec-97	Saturday	card	37224	canned
28427	03-Dec-97	Wednesday	bankcheck	12974	clothes
28597	02-Dec-97	Tuesday	card	19205	meat
28803	26-Dec-97	Friday	bankcheck	41900	dairy
28977	27-Dec-97	Saturday	card	37266	canned
28979	08-Dec-97	Monday	bankcheck	35849	wine
29095	29-Dec-97	Monday	bankcheck	46710	frozen_meals
29316	12-Dec-97	Friday	card	34521	frozen_meals
29524	22-Dec-97	Monday	money	10713	canned
29640	24-Dec-97	Wednesday	money	28596	wine
30132	29-Dec-97	Monday	money	23936	fish
30243	21-Dec-97	Sunday	money	30392	canned
30459	30-Dec-97	Tuesday	bankcheck	32676	dairy
31011	14-Dec-97	Sunday	card	39563	dairy
31046	27-Dec-97	Saturday	money	16585	fish
31083	22-Dec-97	Monday	money	45615	fruitvegs
31384	14-Dec-97	Sunday	card	37206	canned
32369	20-Dec-97	Saturday	bankcheck	21920	canned
32380	10-Dec-97	Wednesday	card	11122	wine
32646	30-Dec-97	Tuesday	bankcheck	2653	clothes
34605	12-Dec-97	Friday	card	458	wine
34750	16-Dec-97	Tuesday	card	21904	fruitvegs
35262	23-Dec-97	Tuesday	bankcheck	26251	beer
35904	13-Dec-97	Saturday	bankcheck	38061	wine
36190	23-Dec-97	Tuesday	bankcheck	28413	canned
36927	19-Dec-97	Friday	bankcheck	20181	frozen_meals
37114	28-Dec-97	Sunday	money	48040	frozen_meals
37523	16-Dec-97	Tuesday	card	27671	spirit drinks
37571	08-Dec-97	Monday	money	18064	spirit drinks
38014	29-Dec-97	Monday	bankcheck	2333	meat
38097	13-Dec-97	Saturday	money	37138	fruitvegs
38360	14-Dec-97	Sunday	money	35016	canned
39080	18-Dec-97	Thursday	card	18388	fish
39081	28-Dec-97	Sunday	bankcheck	47581	wine
39952	08-Dec-97	Monday	card	35337	spirit drinks
39970	01-Dec-97	Monday	bankcheck	46741	frozen_meals
40090	22-Dec-97	Monday	bankcheck	41485	frozen_meals
40659	09-Dec-97	Tuesday	card	275	beer
40690	28-Dec-97	Sunday	money	28620	spirit drinks
40949	30-Dec-97	Tuesday	money	1012	meat
41132	07-Dec-97	Sunday	bankcheck	18441	clothes
41805	14-Dec-97	Sunday	money	48579	clothes
41841	13-Dec-97	Saturday	money	18282	spirit drinks
42381	24-Dec-97	Wednesday	money	46062	canned
42778	23-Dec-97	Tuesday	money	35281	frozen_meals
43111	14-Dec-97	Sunday	money	43437	spirit drinks
43401	17-Dec-97	Wednesday	money	29441	frozen_meals
43550	25-Dec-97	Thursday	money	10536	canned
43800	27-Dec-97	Saturday	card	44283	wine
43964	26-Dec-97	Friday	money	29458	canned
44294	29-Dec-97	Monday	money	38531	frozen_meals
46054	09-Dec-97	Tuesday	card	14281	meat
46278	07-Dec-97	Sunday	card	34008	fruitvegs
47251	21-Dec-97	Sunday	card	46406	clothes
47638	23-Dec-97	Tuesday	money	2567	frozen_meals
47923	19-Dec-97	Friday	card	2604	beer
48783	05-Dec-97	Friday	card	246	frozen_meals
49632	28-Dec-97	Sunday	card	10772	dairy
49658	29-Dec-97	Monday	card	17208	spirit drinks
50064	30-Dec-97	Tuesday	card	47082	fruitvegs
50180	07-Dec-97	Sunday	money	35544	canned
50551	13-Dec-97	Saturday	card	27647	canned
50647	22-Dec-97	Monday	card	38563	canned
51732	08-Dec-97	Monday	money	41070	beer
51939	05-Dec-97	Friday	card	43242	canned
51979	14-Dec-97	Sunday	card	20528	frozen_meals
52128	30-Dec-97	Tuesday	card	13685	canned
52421	20-Dec-97	Saturday	card	31736	dairy
54180	07-Dec-97	Sunday	money	43037	charcuterie
54462	21-Dec-97	Sunday	money	38839	beer
54981	29-Dec-97	Monday	money	49220	meat
55652	15-Dec-97	Monday	card	41717	fish
56034	07-Dec-97	Sunday	money	41271	fish
56851	12-Dec-97	Friday	card	21641	canned
56885	14-Dec-97	Sunday	bankcheck	33569	meat
57102	20-Dec-97	Saturday	money	19910	dairy
57952	03-Dec-97	Wednesday	bankcheck	35149	clothes
58235	07-Dec-97	Sunday	money	48115	clothes
58341	28-Dec-97	Sunday	money	32836	canned
58803	15-Dec-97	Monday	bankcheck	11292	charcuterie
59297	17-Dec-97	Wednesday	bankcheck	49357	meat
59349	21-Dec-97	Sunday	card	28493	charcuterie
59389	22-Dec-97	Monday	card	39569	canned
59480	21-Dec-97	Sunday	money	10328	wine
59580	09-Dec-97	Tuesday	money	40878	frozen_meals
59590	17-Dec-97	Wednesday	card	27983	beer
60159	19-Dec-97	Friday	card	43218	canned
60820	07-Dec-97	Sunday	money	32980	canned
60890	25-Dec-97	Thursday	card	44632	frozen_meals
61342	28-Dec-97	Sunday	money	26589	beer
61618	12-Dec-97	Friday	bankcheck	34474	clothes
61789	10-Dec-97	Wednesday	money	14352	canned
61869	27-Dec-97	Saturday	money	31801	beer
62060	03-Dec-97	Wednesday	card	40702	canned
62175	29-Dec-97	Monday	money	17918	charcuterie
62789	12-Dec-97	Friday	money	15161	frozen_meals
63368	11-Dec-97	Thursday	card	42407	beer
63452	22-Dec-97	Monday	money	17892	charcuterie
63694	14-Dec-97	Sunday	card	22304	fruitvegs
63996	08-Dec-97	Monday	bankcheck	13735	fish
64215	06-Dec-97	Saturday	money	17099	frozen_meals
64239	25-Dec-97	Thursday	card	27508	wine
64281	02-Dec-97	Tuesday	card	1772	fruitvegs
64668	17-Dec-97	Wednesday	money	31201	charcuterie
64752	19-Dec-97	Friday	money	18847	canned
66618	03-Dec-97	Wednesday	money	3050	meat
66988	07-Dec-97	Sunday	card	17959	beer
67133	24-Dec-97	Wednesday	bankcheck	36691	canned
68104	19-Dec-97	Friday	bankcheck	1233	dairy
69110	23-Dec-97	Tuesday	money	11849	meat
69774	10-Dec-97	Wednesday	money	25448	beer
69802	16-Dec-97	Tuesday	money	43542	canned
70014	20-Dec-97	Saturday	card	17493	wine
70182	22-Dec-97	Monday	card	11300	frozen_meals
70206	25-Dec-97	Thursday	bankcheck	1532	fruitvegs
70428	03-Dec-97	Wednesday	card	23608	canned
70481	14-Dec-97	Sunday	bankcheck	31700	fish
70858	24-Dec-97	Wednesday	money	20946	fish
71276	05-Dec-97	Friday	card	36339	frozen_meals
71343	17-Dec-97	Wednesday	money	48275	canned
71600	26-Dec-97	Friday	bankcheck	47323	wine
71652	17-Dec-97	Wednesday	card	34069	charcuterie
71887	11-Dec-97	Thursday	money	3007	canned
73480	10-Dec-97	Wednesday	bankcheck	13976	charcuterie
73630	28-Dec-97	Sunday	card	10451	canned
73708	23-Dec-97	Tuesday	bankcheck	43307	dairy
74463	23-Dec-97	Tuesday	card	16707	spirit drinks
75274	12-Dec-97	Friday	card	32288	dairy
76095	05-Dec-97	Friday	bankcheck	28002	charcuterie
76567	15-Dec-97	Monday	card	4225	dairy
77218	09-Dec-97	Tuesday	card	38272	beer
77419	21-Dec-97	Sunday	card	29740	canned
78113	16-Dec-97	Tuesday	money	14392	fruitvegs
78139	23-Dec-97	Tuesday	money	48558	meat
78302	21-Dec-97	Sunday	card	32684	canned
78363	09-Dec-97	Tuesday	card	49413	beer
78967	03-Dec-97	Wednesday	bankcheck	3617	canned
79632	01-Dec-97	Monday	card	12536	canned
80728	08-Dec-97	Monday	money	21265	canned
80954	24-Dec-97	Wednesday	money	13973	canned
81034	21-Dec-97	Sunday	bankcheck	20951	canned
81616	18-Dec-97	Thursday	card	43869	canned
81971	24-Dec-97	Wednesday	money	19367	dairy
82096	29-Dec-97	Monday	money	44539	fruitvegs
82419	16-Dec-97	Tuesday	bankcheck	19726	canned
82801	12-Dec-97	Friday	card	42544	canned
83102	19-Dec-97	Friday	money	48008	canned
83500	27-Dec-97	Saturday	card	49250	meat
84033	27-Dec-97	Saturday	money	434	canned
84042	19-Dec-97	Friday	money	18185	canned
84180	18-Dec-97	Thursday	bankcheck	10423	charcuterie
86044	12-Dec-97	Friday	card	30543	beer
86217	26-Dec-97	Friday	card	19538	frozen_meals
86331	09-Dec-97	Tuesday	card	45452	fish
86759	01-Dec-97	Monday	card	48457	canned
87270	28-Dec-97	Sunday	bankcheck	31487	meat
88260	15-Dec-97	Monday	card	29778	canned
88886	17-Dec-97	Wednesday	card	1893	canned
89041	24-Dec-97	Wednesday	bankcheck	2508	frozen_meals
89425	20-Dec-97	Saturday	bankcheck	28862	charcuterie
89460	25-Dec-97	Thursday	money	33419	charcuterie
89484	18-Dec-97	Thursday	card	40655	charcuterie
90165	23-Dec-97	Tuesday	bankcheck	1086	canned
90462	28-Dec-97	Sunday	money	10073	frozen_meals
90562	02-Dec-97	Tuesday	money	29009	fish
90730	17-Dec-97	Wednesday	money	29500	canned
91074	19-Dec-97	Friday	card	46564	frozen_meals
91986	24-Dec-97	Wednesday	money	35162	canned
92125	26-Dec-97	Friday	card	15794	canned
92227	13-Dec-97	Saturday	money	42533	fruitvegs
92868	17-Dec-97	Wednesday	bankcheck	48355	frozen_meals
93037	19-Dec-97	Friday	money	19176	dairy
93353	20-Dec-97	Saturday	card	36804	wine
93469	19-Dec-97	Friday	bankcheck	32766	meat
93669	16-Dec-97	Tuesday	bankcheck	27703	clothes
93920	02-Dec-97	Tuesday	card	22539	canned
93974	24-Dec-97	Wednesday	money	46510	canned
94341	27-Dec-97	Saturday	card	22462	beer
94467	19-Dec-97	Friday	money	18959	spirit drinks
94754	04-Dec-97	Thursday	money	45086	meat
95354	05-Dec-97	Friday	bankcheck	35397	meat
95479	18-Dec-97	Thursday	bankcheck	45742	clothes
95604	06-Dec-97	Saturday	bankcheck	23506	canned
95655	20-Dec-97	Saturday	money	25580	dairy
95887	25-Dec-97	Thursday	money	43196	frozen_meals
95915	20-Dec-97	Saturday	money	17313	frozen_meals
96076	17-Dec-97	Wednesday	money	24441	canned
96078	20-Dec-97	Saturday	money	10461	beer
96289	22-Dec-97	Monday	card	16136	fruitvegs
96333	25-Dec-97	Thursday	card	27559	canned
