client	sex	ownhome	salary	age
16316	M	N	23300	22
37166	F	N	21600	23
18334	F	N	25900	43
102645	F	Y	17200	23
101100	M	Y	16600	42
64861	M	Y	27200	49
19041	F	N	21100	23
85771	F	N	15700	36
79303	M	N	17000	19
92675	F	N	18100	47
71690	F	N	29300	18
86350	F	N	18200	49
88260	F	N	12000	34
86759	F	N	14800	34
49861	M	Y	20300	32
21543	F	N	28900	27
70481	M	Y	29800	30
29944	M	N	29800	18
46054	M	N	15000	46
61329	F	Y	17200	49
24566	F	Y	24300	34
58768	F	Y	10800	16
71343	M	Y	13700	38
55418	F	Y	16800	23
18228	M	N	17700	41
37305	M	N	18200	49
30243	M	Y	11500	33
59599	F	Y	18700	28
61869	M	N	12100	46
10360	M	N	13400	20
83338	M	N	18500	41
39080	F	Y	21000	36
84799	M	Y	17600	21
51979	M	Y	11100	16
40505	F	N	25400	50
37098	F	Y	14100	37
29524	F	Y	25100	37
63452	M	N	12000	48
20158	M	Y	29000	43
70182	F	Y	12200	18
56034	M	N	14100	16
44235	F	Y	23200	41
96881	M	Y	11900	39
27166	F	Y	25100	44
39884	M	N	29700	21
95141	F	Y	20900	37
28110	M	Y	12100	21
85259	F	Y	11000	22
14996	M	Y	26100	17
55652	M	N	14100	20
43964	F	N	18500	24
51183	F	N	23100	25
29310	M	Y	28900	22
21187	F	Y	15400	36
83536	F	N	11600	22
95887	M	N	12500	27
88176	F	Y	28300	31
65418	F	Y	24600	48
27766	F	N	18900	34
66191	F	N	22600	35
108764	M	Y	10200	27
12782	F	N	20300	31
75118	F	Y	22200	49
58188	M	N	29900	19
95479	M	N	22700	32
59439	M	Y	22000	24
104903	F	N	28200	30
44825	F	N	12600	50
71887	M	N	14700	46
18708	F	Y	25900	35
74423	F	Y	20000	18
97967	F	N	27600	48
20386	F	Y	15400	32
77218	M	N	16500	34
80137	F	N	22200	33
84092	F	N	22000	48
58914	F	Y	25500	50
16287	F	N	25800	16
86044	M	N	13900	30
36927	M	N	11100	35
93304	M	N	28200	34
66988	M	Y	12300	43
55091	M	N	24400	19
64215	M	N	15300	42
28629	M	N	26200	31
98383	M	N	24500	32
107505	F	Y	25000	32
99578	M	N	24300	27
28979	F	Y	20100	21
102733	F	N	17200	24
81690	F	N	23900	36
25405	M	N	27600	36
85348	F	Y	12400	24
19915	F	N	15700	21
99387	F	N	16500	49
32380	F	Y	18900	20
39914	F	Y	13700	26
57952	F	N	26900	48
64239	M	Y	15800	22
38014	F	N	16000	42
21875	F	N	25000	17
37939	M	Y	28300	18
109061	F	N	27800	50
100754	F	N	17100	16
28313	F	N	27700	48
82753	F	Y	23200	42
105412	M	N	18500	29
42583	F	Y	13300	24
89233	F	Y	28400	17
76777	F	N	26900	28
16220	M	N	15300	33
17864	F	N	28900	18
87270	M	N	21300	29
34593	M	Y	26800	50
67697	M	N	18200	44
32302	F	Y	12500	37
15663	F	Y	19700	45
108601	M	N	17100	49
55951	M	N	23600	39
39817	F	Y	17500	49
19613	F	Y	11000	45
71600	M	N	12400	33
96561	M	N	17000	29
90861	F	Y	18600	29
68501	F	N	24000	31
30132	M	N	15700	23
78639	M	N	27900	48
46419	F	N	20000	27
50633	M	Y	19200	46
11553	M	N	28300	27
65853	M	Y	17500	33
47547	F	Y	16900	46
38360	F	Y	14700	27
107728	F	N	26800	49
30390	M	Y	21400	25
75815	F	Y	19200	40
106288	F	Y	12300	23
88596	F	N	28400	38
93469	M	N	24800	16
34756	F	Y	15900	18
12584	F	Y	17400	29
107080	F	N	25100	43
73651	M	Y	11700	22
54180	M	N	13500	32
45102	M	N	28800	16
85475	M	Y	24500	47
78363	M	Y	10600	18
23718	M	Y	29700	37
54152	M	Y	24400	38
93963	M	Y	25100	21
35561	M	Y	13300	24
30371	F	Y	23100	24
93669	F	N	21600	37
70858	M	Y	17600	46
103147	M	Y	18100	28
80198	F	N	28300	47
42459	F	Y	23800	47
36631	M	Y	22100	16
43800	F	Y	27900	36
60240	M	Y	23800	45
29640	F	N	17800	27
109000	F	Y	17800	22
108739	M	N	20800	29
104165	M	N	25400	43
73630	F	N	19800	25
25765	F	Y	30000	25
84903	F	N	29600	17
99347	F	Y	23100	44
41157	F	N	15200	40
20325	M	Y	26600	24
71462	F	Y	26300	42
91928	F	N	14300	19
80306	F	N	15200	27
78113	F	Y	23800	22
95488	F	N	18100	26
27720	F	N	13400	16
76264	M	N	29700	16
38477	M	Y	16500	38
43557	F	Y	10800	25
10609	F	N	16700	41
73259	F	N	24700	42
18920	M	N	15800	49
39581	F	Y	27900	49
14912	M	Y	28100	28
80438	M	N	19600	38
81034	M	Y	12800	28
89250	F	N	27900	29
96982	M	Y	15300	49
89872	F	Y	19100	40
71140	M	Y	25800	42
83650	F	Y	27000	22
14891	F	N	27400	26
83523	M	N	17400	40
48896	F	Y	17200	22
68438	F	Y	21700	46
86681	F	N	13500	50
66267	F	N	27300	21
87975	F	N	17900	26
39970	M	Y	13900	22
104111	F	Y	12300	20
92209	F	Y	22700	17
66711	F	N	15400	48
102215	M	Y	14400	47
34750	F	N	27800	48
62060	M	Y	11100	42
25524	M	N	25900	36
45992	F	Y	16500	49
47341	M	N	20300	16
67799	F	N	21300	16
47136	F	N	24400	43
17375	M	Y	21800	22
40789	F	N	12800	16
27673	F	Y	29000	36
45375	M	N	25100	50
58341	F	Y	12900	38
37523	F	N	25200	16
84042	M	N	14200	27
64561	F	Y	28200	33
71078	M	Y	23800	31
43044	M	Y	21700	32
32369	M	Y	23500	21
31552	M	Y	23700	17
41805	M	N	16300	25
46686	F	N	17500	34
95896	M	Y	29100	21
63829	F	N	13100	45
84180	M	Y	12800	47
91972	F	N	26700	18
40542	F	N	16300	42
44452	F	N	11900	30
87151	F	N	21400	30
23501	M	Y	23000	49
25387	F	Y	14900	36
96584	M	Y	26600	39
15306	M	N	16500	41
93920	M	Y	16100	18
103316	M	Y	17900	46
17110	M	Y	14700	45
71652	M	Y	13300	29
67211	F	N	23600	43
88886	M	Y	15300	25
29224	F	N	24900	16
46005	M	N	26200	32
43111	F	Y	11400	27
18126	F	N	14200	19
87101	M	N	15000	23
102934	F	N	29400	45
100328	M	Y	10700	36
94108	M	N	18500	42
47913	F	N	28900	25
17809	M	Y	27100	20
45019	M	N	19800	48
55552	M	Y	19800	50
92883	F	N	24500	27
89649	F	N	28200	24
38063	F	N	29400	16
11230	M	N	24400	42
89302	F	Y	12000	39
35707	M	N	25300	42
90264	M	N	24300	18
79875	F	N	19800	39
74463	F	Y	25400	36
56258	F	N	14500	48
81836	M	N	11800	48
95026	F	Y	13400	29
87482	F	Y	14200	38
20556	M	N	13900	18
68058	F	N	29000	22
23845	F	Y	15400	47
39952	M	N	15900	37
33172	M	Y	19700	48
71254	F	Y	29400	45
36190	M	Y	15500	18
15099	M	N	15700	16
100256	M	N	12800	33
51384	F	N	11200	47
54190	F	Y	19300	24
84756	M	Y	28300	32
28755	F	Y	11000	25
73480	M	N	13500	41
86217	M	Y	14300	43
91055	F	Y	15200	23
80297	F	N	19500	21
42381	M	N	13100	31
80954	M	N	14800	45
106531	M	N	24500	19
78030	F	N	22100	38
103139	F	Y	24400	20
17939	F	N	16900	46
42056	F	Y	13900	30
23419	F	N	21000	24
48783	M	N	16500	50
98204	M	Y	12700	18
67063	F	Y	23300	46
77335	F	N	29800	40
32594	F	Y	26200	16
24493	M	Y	28600	45
72248	M	Y	17400	28
79039	M	N	25400	46
58803	M	N	13500	39
87066	M	Y	25400	23
60159	M	N	11600	47
15629	F	Y	27700	37
38608	M	Y	24400	21
18143	F	Y	15900	36
22316	F	Y	18000	20
40743	M	Y	19200	24
79305	F	N	22200	31
83439	F	Y	24300	43
16342	M	N	22700	29
75971	M	Y	19800	44
31046	F	Y	19700	25
13722	M	N	18100	19
93467	F	N	25200	27
40208	F	N	28900	40
41132	F	N	19900	42
64596	M	Y	24500	28
46539	M	N	20400	23
40690	M	N	24800	45
51916	F	N	14000	23
21814	M	N	12200	23
31011	M	N	27100	16
24210	F	Y	18300	50
10902	M	N	25300	47
106649	F	N	13700	22
31033	M	N	17800	47
68006	M	Y	27800	19
47638	M	Y	10200	41
18953	F	N	11000	17
21347	F	Y	15900	24
38600	M	N	22500	48
104830	F	N	13400	28
56452	M	N	25700	48
18030	F	Y	28400	29
72901	F	N	13200	39
104554	M	N	10900	21
93162	M	N	20500	25
54313	M	N	27600	22
89485	M	Y	25300	28
61309	M	Y	18100	44
73441	F	N	12800	20
10717	M	N	18900	23
27694	M	Y	14700	41
69380	F	N	21600	40
26885	M	Y	13200	28
90730	M	N	14600	36
69110	M	N	14800	16
86612	M	Y	24900	27
93353	F	N	22500	40
25311	M	Y	29400	24
81487	M	N	18500	25
18331	F	Y	27400	20
84148	F	N	20900	22
83500	M	Y	28300	21
29316	M	N	10800	39
82173	F	N	27800	22
62264	M	Y	18200	26
14875	M	Y	29700	36
73594	F	N	12100	41
79384	F	N	12600	45
63138	M	N	17100	22
58144	F	N	29100	38
103446	M	Y	17100	23
28994	F	N	18500	18
72298	M	Y	17600	25
69884	M	Y	21800	30
68119	F	Y	12900	25
14692	F	Y	14400	19
52530	F	N	18400	35
28803	M	Y	13200	38
86983	F	N	20200	17
72454	F	Y	25900	27
50551	F	N	13500	27
92868	M	N	25000	40
20991	M	Y	10500	25
98352	F	N	13300	36
30239	M	Y	16100	17
15882	M	Y	14700	20
30989	F	N	19900	50
107499	F	Y	24800	28
70336	F	Y	12200	20
47598	F	Y	23900	40
17590	M	Y	17200	49
20260	M	Y	21300	21
50531	F	Y	10700	36
42653	M	Y	25300	49
94685	M	Y	25600	29
11818	F	Y	29200	48
25668	F	Y	13500	19
53959	F	Y	16800	27
55992	M	Y	25700	30
85081	F	Y	20900	29
104800	M	N	26800	29
92125	F	N	22800	17
107314	M	N	15900	26
29192	M	N	21500	29
90933	M	Y	29900	31
48749	F	Y	21100	30
49658	M	Y	17600	40
20521	M	N	28200	44
75663	F	Y	23400	29
65425	F	Y	14300	25
67133	M	N	11800	39
62455	F	Y	16800	43
100255	M	N	23100	30
15590	M	N	20800	41
46278	M	N	23400	40
12582	M	N	19600	23
38723	F	N	28400	16
47251	F	Y	29100	43
109798	M	Y	17300	33
59349	M	Y	16200	18
17830	F	N	15100	47
69401	F	N	22700	25
103708	F	Y	28000	29
27664	F	Y	19500	26
102206	F	N	21700	41
51732	M	Y	15300	33
28630	F	N	15100	39
36857	M	Y	19100	49
82419	F	Y	26200	31
103385	M	N	12500	16
87793	F	N	21700	40
94341	M	N	16300	17
19078	M	Y	20300	28
109376	M	Y	16400	21
58235	F	N	23400	45
33233	M	Y	27200	28
83883	F	Y	17800	47
69718	F	Y	29400	29
105829	F	Y	10900	23
39221	M	N	23100	43
98809	F	N	20700	19
14759	M	Y	26600	24
40659	M	Y	15000	39
95915	M	N	11800	35
47421	M	Y	17400	49
105601	M	Y	16100	42
89209	M	Y	25400	19
69754	M	Y	25900	24
17133	M	Y	21700	22
11119	F	Y	12000	27
57615	M	Y	19700	41
61270	M	N	28500	49
11220	M	Y	11400	27
47645	F	N	13000	35
32444	F	N	28200	17
93037	F	N	29500	41
34809	F	N	11300	38
57582	M	Y	29900	39
59184	F	N	14900	36
27682	F	Y	15500	47
56851	M	N	13400	29
12312	F	Y	25600	34
53953	F	N	11100	48
81616	F	Y	12700	21
37366	M	N	18800	19
97512	F	N	12800	32
49769	M	Y	26300	19
47307	F	N	11400	45
25180	M	Y	29000	38
98023	F	Y	20200	20
32669	M	Y	15600	46
61255	F	N	28300	31
101414	F	N	19000	38
24686	F	N	27800	28
37114	M	N	16200	37
94790	M	N	19800	31
105007	F	N	28300	45
38645	F	Y	21900	20
37567	M	N	26400	46
62993	F	Y	27800	45
12547	M	Y	16800	35
106654	M	Y	19000	44
59389	F	N	14500	29
104327	F	N	28000	45
87250	F	Y	11700	43
27371	F	N	26400	25
91545	M	Y	22800	45
71276	F	N	10300	45
109551	M	Y	23500	35
50961	F	Y	16600	16
72979	M	Y	23200	18
50104	M	N	13800	23
13893	F	Y	17200	19
12800	F	Y	23000	49
89460	M	Y	15300	16
63779	F	N	11300	48
29483	M	Y	25400	16
83127	M	N	21100	21
96371	M	Y	21100	37
66886	M	Y	25100	41
66940	F	N	22100	35
36191	F	N	11400	24
29625	M	Y	20300	43
93393	M	N	27100	37
60890	M	N	15800	28
18464	M	Y	24300	22
75130	F	Y	10500	33
64281	M	N	11000	47
84937	F	N	25500	43
58388	M	N	23800	39
106314	F	N	10800	37
34529	F	N	19800	18
56220	F	Y	12500	28
49085	M	N	29400	25
84497	F	Y	23000	31
90165	F	Y	10700	24
98626	F	Y	24800	42
96289	M	N	13900	47
78598	M	N	28100	30
37571	M	N	20700	38
42689	F	N	20000	40
102421	M	Y	14700	25
75792	M	N	27000	50
71604	M	Y	25600	49
102348	M	Y	24300	36
28233	F	Y	29900	50
72902	F	Y	25300	16
102703	M	Y	30000	32
50645	F	Y	30000	45
40282	F	Y	20500	42
94015	F	N	20500	24
98696	M	Y	13800	39
43401	M	N	11600	24
106585	M	N	21000	50
106792	M	N	18800	45
34702	M	Y	29100	25
19999	F	N	23600	44
76145	F	N	29800	27
84033	F	Y	16600	31
50142	M	Y	24500	23
96474	F	Y	24900	40
101699	M	Y	27800	35
23380	M	N	23200	43
63368	M	N	13000	38
32392	M	N	27600	22
79577	F	Y	22600	38
30558	F	Y	23800	34
103166	F	N	25900	33
64053	F	N	27200	36
28081	M	N	15400	16
106044	M	N	14500	29
11241	M	N	13500	22
11966	M	N	10400	16
15835	F	Y	17100	41
107714	F	Y	20200	21
29095	M	N	15900	42
98635	F	Y	26700	22
20849	F	N	30000	30
87703	M	N	27200	20
54981	M	Y	24800	17
51818	M	N	26300	34
15650	M	Y	22300	28
56097	F	Y	23400	25
54172	F	Y	19800	46
103749	F	Y	21000	21
98409	F	N	24900	35
57762	M	Y	20700	36
82901	F	N	22600	33
88972	M	N	19200	22
73383	M	N	18000	31
42163	M	N	29300	29
41841	M	N	21500	40
39077	M	N	28200	34
70014	M	N	28700	25
78428	F	Y	13900	38
23784	F	Y	18500	20
26291	F	Y	17100	49
88549	M	N	22600	20
90911	F	N	17100	16
17470	F	N	26900	42
94531	M	Y	27800	41
90462	M	N	10300	36
108003	F	N	29400	34
87953	M	Y	22500	22
36863	F	Y	25500	34
28138	F	Y	12200	32
69965	M	N	22300	21
100047	F	N	27000	23
13325	F	N	20500	48
17747	M	Y	19900	37
61618	F	Y	15600	49
97148	F	N	23500	34
28977	M	N	11300	33
37784	M	Y	17400	41
29107	F	N	15500	21
63979	M	Y	20400	17
106290	M	Y	17000	35
90562	M	Y	24300	24
99457	F	N	11700	16
25097	M	N	21900	40
70359	F	Y	14400	46
87450	F	Y	17900	38
23682	M	Y	16800	48
66551	M	N	22000	30
49225	F	Y	16300	43
13518	F	Y	25400	50
69802	F	Y	11000	33
77419	M	Y	16700	36
59590	M	Y	16200	26
108832	F	N	15200	37
60688	M	N	24400	38
79001	F	Y	20600	24
26396	M	Y	27100	47
91986	F	Y	19800	26
36040	M	N	28100	26
107876	M	N	17600	44
71832	F	N	13300	43
66618	F	N	15300	50
52128	M	Y	29000	29
17201	M	N	26100	16
32646	M	Y	15100	40
15109	M	Y	19500	49
16055	M	Y	29300	38
61789	M	N	25100	37
10236	F	Y	17700	44
39081	M	Y	10600	18
60820	F	N	12300	20
55625	F	N	27400	38
14630	M	N	15200	31
89106	F	Y	28900	32
52359	F	N	10300	16
85472	F	Y	20800	48
14368	F	N	22800	31
31921	M	Y	11600	32
10150	F	N	10700	36
59352	F	Y	21300	24
10614	M	N	25900	25
58566	M	N	18700	46
95655	F	N	13500	42
10451	M	N	12500	19
28597	M	Y	16400	18
13903	F	N	17800	32
69774	M	Y	15900	45
33697	M	Y	19700	25
101784	M	N	20200	39
60073	M	Y	22600	34
35979	M	N	19000	35
99046	M	N	29200	49
40579	F	Y	24600	45
48893	F	Y	10600	49
109048	M	N	24700	49
25256	M	N	21600	40
30504	F	N	19600	37
33167	F	N	28600	21
43228	M	N	28600	44
104011	F	N	19100	42
52451	M	N	22800	47
75274	M	N	20400	23
19193	M	N	28700	21
32408	F	Y	12400	32
96333	M	N	29600	26
99410	F	N	13000	40
58343	M	Y	20700	44
12938	F	N	12600	27
52903	M	Y	24100	32
20844	F	Y	13600	45
84605	F	Y	17300	48
83340	F	Y	12500	44
34605	F	Y	22000	49
106494	F	Y	18700	44
99624	F	N	24400	36
47923	M	Y	24000	38
71607	F	N	25300	23
103485	M	Y	25200	20
27890	M	Y	23900	26
81851	F	N	17600	19
36364	F	Y	17600	48
36951	F	Y	11700	32
106004	M	Y	26200	27
40949	M	Y	16000	39
35904	F	N	28400	20
106489	F	Y	16100	41
80578	F	Y	10800	40
109504	M	Y	27400	21
28528	F	Y	27600	45
70664	M	N	22600	47
65088	M	N	27000	19
90147	M	Y	27800	30
28498	F	N	12400	38
79890	F	N	18100	50
42927	F	Y	14600	24
91913	M	N	13200	45
32083	M	N	18800	42
100918	M	Y	13900	27
89406	F	Y	16500	37
23037	F	Y	15700	45
103462	F	Y	24500	26
89559	F	N	15400	16
55629	M	Y	27100	27
72986	F	Y	22200	36
19209	M	Y	16900	21
64752	F	N	14100	38
35519	M	Y	21400	32
103168	F	Y	15900	22
46071	F	N	25100	32
109132	F	Y	15100	38
47343	F	Y	28300	41
47441	F	Y	21600	36
93891	F	N	13900	20
13747	F	N	18700	38
89041	M	N	15900	25
55295	F	N	12400	47
47489	M	Y	18400	41
59580	M	Y	14200	50
98836	F	Y	24900	29
92227	F	N	22600	29
34297	F	N	22600	32
25774	F	Y	26700	48
101031	M	Y	15100	16
14890	M	Y	18700	29
63420	M	N	19500	21
103325	F	N	17100	49
72849	M	N	19100	47
10987	F	Y	29300	21
31083	F	N	20700	26
50258	F	Y	19100	25
70206	M	Y	18000	33
19519	M	Y	23300	31
14658	F	Y	24700	36
85860	F	Y	18400	17
50087	F	N	17300	45
96078	M	N	16500	37
82096	M	N	10500	23
41996	F	Y	23900	48
57207	M	Y	29700	48
105816	F	N	13900	37
94231	M	Y	11600	28
80869	F	Y	29400	29
51939	M	Y	11500	47
89484	M	N	28600	47
99292	F	N	19800	23
77232	M	N	19600	22
79535	F	N	18400	50
10944	M	N	10500	46
42524	F	N	25700	22
90360	F	N	16000	47
79446	M	Y	17000	17
40090	F	Y	13200	25
83003	F	Y	17100	47
12694	F	N	22100	40
79632	M	N	13000	43
95354	M	N	13300	35
108596	M	N	27600	44
44594	F	Y	23400	50
24534	F	Y	17000	22
27462	F	Y	22300	39
108153	F	N	23500	32
93974	M	N	13200	33
39042	F	N	24200	46
108718	M	Y	21600	18
59071	F	Y	28100	35
72299	F	Y	25800	24
103546	M	N	28500	44
52011	F	N	24500	25
81745	F	Y	12400	49
70428	F	N	21600	42
85182	M	N	27600	22
62175	M	N	13300	16
39715	M	Y	20200	17
97328	F	Y	14300	24
50064	M	N	15400	20
72200	F	N	14400	48
14301	M	N	14200	33
109583	M	N	29200	34
50647	M	Y	22100	25
95443	M	Y	29000	42
65225	F	Y	25900	48
67809	F	N	11600	39
74314	F	N	17500	31
57102	M	N	16100	30
61011	M	Y	25000	21
52421	M	N	15000	16
17064	F	Y	15800	45
28061	F	Y	23200	43
12291	M	N	26700	40
105095	F	Y	18000	50
89958	F	Y	19400	27
32432	M	Y	29700	34
70063	M	N	18700	35
42037	M	N	29900	25
24258	F	Y	14300	23
109672	M	Y	15600	20
33891	F	Y	13100	47
44775	F	N	26400	44
57101	M	Y	19800	49
13564	F	Y	12900	19
28427	M	N	10700	32
24864	F	Y	19200	38
61159	M	N	25000	21
10645	M	Y	13300	20
96076	F	Y	22900	36
66651	F	Y	27900	44
61342	F	N	18900	41
94754	F	N	29700	41
37915	F	N	10500	26
18517	M	Y	13900	38
14107	F	N	27500	33
91117	M	N	17800	21
28268	M	N	21300	26
76944	F	Y	23900	34
58485	M	N	28000	27
82801	M	N	20100	28
54314	F	Y	28700	44
106122	M	Y	23700	22
105188	M	Y	26400	39
73708	F	N	21900	36
72900	M	N	18700	17
29343	F	N	27300	46
109884	F	N	15100	18
32160	F	Y	20600	33
59297	F	N	22000	28
101544	M	N	25100	47
94004	M	N	28000	37
91074	F	N	11600	19
78302	M	Y	20500	33
65006	F	N	12600	24
27496	F	N	25700	48
27306	F	N	10600	42
108855	F	Y	22800	30
30423	F	Y	12200	45
14015	M	N	17200	38
19211	M	N	12700	28
18917	M	N	12100	47
68104	F	N	20800	45
109425	F	Y	20300	20
55550	M	N	21500	28
14514	F	Y	11000	45
103087	M	Y	15500	35
56885	M	N	15500	27
41866	F	N	16100	34
69372	F	Y	10700	35
105429	M	N	23300	43
15317	M	Y	23700	40
68156	F	N	26300	40
104971	F	Y	24900	24
78626	M	N	23700	47
60153	M	Y	27400	31
80728	F	Y	11700	28
100553	M	N	21500	34
43962	M	N	22600	49
78357	F	N	28600	40
82796	F	Y	17800	17
40459	F	N	23700	47
106499	M	Y	10700	31
109224	M	N	27500	18
32182	F	Y	24300	29
100393	M	N	27200	22
26061	M	N	11000	22
47330	F	Y	18800	21
94864	F	N	14200	47
28959	M	N	23600	38
54462	M	N	15900	31
63880	F	N	20800	23
104630	F	Y	23800	19
11565	F	N	16400	19
93527	M	Y	29700	38
88812	F	N	10500	34
61107	F	Y	21100	30
104722	M	Y	16700	38
10915	F	N	13500	22
33056	M	N	23500	27
78967	M	Y	14500	25
81825	F	N	12300	21
51846	F	N	14000	21
58288	M	N	16000	24
30459	F	N	20500	29
70018	F	Y	25800	39
62789	M	N	14000	25
102887	M	N	20300	46
83102	M	Y	14600	47
57268	M	Y	22000	25
78139	M	N	25200	29
86331	M	N	10300	29
31384	M	N	27500	27
63996	F	N	22600	23
99025	M	Y	27400	42
95921	F	Y	23300	43
99164	M	N	21600	26
