ItemCode,ItemDescription,CategoryCode,SubCategoryCode,BrandCode,UpmarketFlag
I0000000092,COMPKIT - 10,MACC,PFLOP,BCOMPKIT,F
I0000000093,COMPKIT - 50,MACC,PFLOP,BCOMPKIT,F
I0000000094,COMPKIT - 100,MACC,PFLOP,BCOMPKIT,F
I0000000095,COMPKIT - 500,MACC,PFLOP,BCOMPKIT,F
I0000000096,DIXFIX - 10,MACC,PFLOP,BDIXFIX,F
I0000000097,DIXFIX - 50,MACC,PFLOP,BDIXFIX,F
I0000000098,DIXFIX - 100,MACC,PFLOP,BDIXFIX,F
I0000000099,DIXFIX - 500,MACC,PFLOP,BDIXFIX,F
I0000000100,DIXFIX - 1000,MACC,PFLOP,BDIXFIX,F
I0000000101,OFFICE SPACE - 10,MACC,PFLOP,BOFFSPACE,F
I0000000102,OFFICE SPACE - 10 Rainbow,MACC,PFLOP,BOFFSPACE,F
I0000000103,OFFICE SPACE - 50,MACC,PFLOP,BOFFSPACE,F
I0000000104,OFFICE SPACE - 50 Rainbow,MACC,PFLOP,BOFFSPACE,F
I0000000105,OFFICE SPACE - 100,MACC,PFLOP,BOFFSPACE,F
I0000000106,OFFICE SPACE - 100 Rainbow,MACC,PFLOP,BOFFSPACE,F
I0000000107,OFFICE SPACE - 500,MACC,PFLOP,BOFFSPACE,F
I0000000108,OFFICE SPACE - 500 Rainbow,MACC,PFLOP,BOFFSPACE,F
I0000000109,OFFICE SPACE - Headset1,MACC,PHDST,BOFFSPACE,F
I0000000110,OFFICE SPACE - Headset1,MACC,PHDST,BOFFSPACE,F
I0000000111,OFFICE SPACE - Headset1,MACC,PHDST,BOFFSPACE,F
I0000000112,COMPKIT - BabyScroller,MACC,PMOUS,BCOMPKIT,F
I0000000113,COMPKIT - 2-Button Standard,MACC,PMOUS,BCOMPKIT,F
I0000000114,COMPKIT - 2-Button Deluxe,MACC,PMOUS,BCOMPKIT,F
I0000000115,COMPKIT - Rollerbal Mouse,MACC,PMOUS,BCOMPKIT,F
I0000000116,COMPKIT - 3-Button Standard,MACC,PMOUS,BCOMPKIT,F
I0000000117,COMPKIT - 3-Button Deluxe,MACC,PMOUS,BCOMPKIT,F
I0000000118,COMPKIT - TurboMouse 2000,MACC,PMOUS,BCOMPKIT,F
I0000000119,ENDOS - ENMS1,MACC,PMOUS,BENDOS,F
I0000000120,ENDOS - ENMS2,MACC,PMOUS,BENDOS,F
I0000000121,ENDOS - ENMS3,MACC,PMOUS,BENDOS,F
I0000000122,ENDOS - ENMS4,MACC,PMOUS,BENDOS,F
I0000000123,ENDOS - ENMS5,MACC,PMOUS,BENDOS,F
I0000000124,OFFICE SPACE - OfficeMouze PD-453,MACC,PMOUS,BOFFSPACE,F
I0000000125,OFFICE SPACE - OfficeMouze SH-246,MACC,PMOUS,BOFFSPACE,F
I0000000126,OFFICE SPACE - OfficeMouze KW-865,MACC,PMOUS,BOFFSPACE,F
I0000000127,OFFICE SPACE - OfficeMouze QW-246,MACC,PMOUS,BOFFSPACE,F
I0000000128,OFFICE SPACE - MP01,MACC,PMPAD,BOFFSPACE,F
I0000000129,OFFICE SPACE - MP02,MACC,PMPAD,BOFFSPACE,F
I0000000130,OFFICE SPACE - MP03,MACC,PMPAD,BOFFSPACE,F
I0000000131,OFFICE SPACE - MP04,MACC,PMPAD,BOFFSPACE,F
I0000000132,OFFICE SPACE - MP05,MACC,PMPAD,BOFFSPACE,F
I0000000133,OFFICE SPACE - MP06,MACC,PMPAD,BOFFSPACE,F
I0000000134,OFFICE SPACE - MP07,MACC,PMPAD,BOFFSPACE,F
I0000000135,OFFICE SPACE - MP08,MACC,PMPAD,BOFFSPACE,F
I0000000136,OFFICE SPACE - MP09,MACC,PMPAD,BOFFSPACE,F
I0000000137,OFFICE SPACE - MP10,MACC,PMPAD,BOFFSPACE,F
I0000000138,OFFICE SPACE - MP11,MACC,PMPAD,BOFFSPACE,F
I0000000139,OFFICE SPACE - MP12,MACC,PMPAD,BOFFSPACE,F
I0000000140,OFFICE SPACE - MP13,MACC,PMPAD,BOFFSPACE,F
I0000000141,OFFICE SPACE - MP14,MACC,PMPAD,BOFFSPACE,F
I0000000142,OFFICE SPACE - MP15,MACC,PMPAD,BOFFSPACE,F
I0000000143,BUTLER-HATCHET - BH Cart1,MACC,PCART,BBUT_HATC,F
I0000000144,BUTLER-HATCHET - BH Cart2,MACC,PCART,BBUT_HATC,F
I0000000145,BUTLER-HATCHET - BH Cart3,MACC,PCART,BBUT_HATC,F
I0000000146,BUTLER-HATCHET - BH Cart4,MACC,PCART,BBUT_HATC,F
I0000000147,DING - PrintThing Basic Cartridge,MACC,PCART,BDING,F
I0000000148,DING - PrintThing Basic Color Cartridge,MACC,PCART,BDING,F
I0000000149,DING - PrintThing Plus Cartridge,MACC,PCART,BDING,F
I0000000150,DING - PrintThing Plus Color Cartridge,MACC,PCART,BDING,F
I0000000151,DING - PrintThing Premium Cartridge,MACC,PCART,BDING,F
I0000000152,DING - PrintThing Premium Color Cartridge,MACC,PCART,BDING,F
I0000000153,GZK - GCR100,MACC,PCART,BGZK,F
I0000000154,GZK - GCR150,MACC,PCART,BGZK,F
I0000000155,GZK - GCR200,MACC,PCART,BGZK,F
I0000000156,GZK - GCR250,MACC,PCART,BGZK,F
I0000000157,GZK - GCR300,MACC,PCART,BGZK,F
I0000000158,POMGRANATE - Sharp Black & White,MACC,PCART,BPOMGRANA,F
I0000000159,POMGRANATE - Sunny Color,MACC,PCART,BPOMGRANA,F
I0000000160,STELLAR - Stellar P12C,MACC,PCART,BSTELLAR,F
I0000000161,STELLAR - Stellar P23C,MACC,PCART,BSTELLAR,F
I0000000162,STELLAR - Stellar P34C,MACC,PCART,BSTELLAR,F
I0000000163,TANGERINE - TC Laser BW,MACC,PCART,BTANGERIN,F
I0000000164,TANGERINE - TC Laser C,MACC,PCART,BTANGERIN,F
I0000000165,TANGERINE - TC Jet BW,MACC,PCART,BTANGERIN,F
I0000000166,TANGERINE - TC Jet C,MACC,PCART,BTANGERIN,F
I0000000167,HARRIS - ScreenCleaner,MACC,PSCRN,BHARRIS,F
I0000000168,MEMDAX - MEMCL 500 ml,MACC,PSCRN,BMEMDAX,F
I0000000169,MEMDAX - MEMCL 1000 ml,MACC,PSCRN,BMEMDAX,F
I0000000170,OFFICE SPACE - Stand1,MACC,PSTND,BOFFSPACE,F
I0000000171,OFFICE SPACE - Stand2,MACC,PSTND,BOFFSPACE,F
I0000000172,HARRIS - 120,MACC,PVIDT,BHARRIS,F
I0000000173,HARRIS - 120 XL,MACC,PVIDT,BHARRIS,F
I0000000174,HARRIS - 120 Superior,MACC,PVIDT,BHARRIS,F
I0000000175,HARRIS - 120 - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000176,HARRIS - 120 XL - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000177,HARRIS - 120 Superior - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000178,HARRIS - 180,MACC,PVIDT,BHARRIS,F
I0000000179,HARRIS - 180 XL,MACC,PVIDT,BHARRIS,F
I0000000180,HARRIS - 180 Superior,MACC,PVIDT,BHARRIS,F
I0000000181,HARRIS - 180 - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000182,HARRIS - 180 XL - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000183,HARRIS - 180 Superior - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000184,HARRIS - 240,MACC,PVIDT,BHARRIS,F
I0000000185,HARRIS - 240 XL,MACC,PVIDT,BHARRIS,F
I0000000186,HARRIS - 240 Superior,MACC,PVIDT,BHARRIS,F
I0000000187,HARRIS - 240 - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000188,HARRIS - 240 XL - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000189,HARRIS - 240 Superior - 3 Pack,MACC,PVIDT,BHARRIS,F
I0000000190,MEMDAX - MEM180-1,MACC,PVIDT,BMEMDAX,F
I0000000191,MEMDAX - MEM180-3,MACC,PVIDT,BMEMDAX,F
I0000000192,MEMDAX - MEM180-10,MACC,PVIDT,BMEMDAX,F
I0000000193,MEMDAX - MEM240-1,MACC,PVIDT,BMEMDAX,F
I0000000194,MEMDAX - MEM240-3,MACC,PVIDT,BMEMDAX,F
I0000000195,MEMDAX - MEM240-10,MACC,PVIDT,BMEMDAX,F
I0000000196,MEMDAX - MEM300-1,MACC,PVIDT,BMEMDAX,F
I0000000197,MEMDAX - MEM300-3,MACC,PVIDT,BMEMDAX,F
I0000000198,MEMDAX - MEM300-10,MACC,PVIDT,BMEMDAX,F
I0000000199,BIMBI - BES32,MCNS,P32BT,BBIMBI,F
I0000000200,BONZAI - HomeArcade,MCNS,P32BT,BBONZAI,F
I0000000201,GAMESTAR - StarGame,MCNS,P32BT,BGAMESTAR,F
I0000000202,MASTER - M-Play,MCNS,P32BT,BMASTER,F
I0000000203,TOYQUEST - Home System,MCNS,P32BT,BTOYQUEST,F
I0000000204,BIMBI - BES64,MCNS,P64BT,BBIMBI,F
I0000000205,BONZAI - HomeArcade II,MCNS,P64BT,BBONZAI,F
I0000000206,GAMESTAR - StarGame Xtra,MCNS,P64BT,BGAMESTAR,F
I0000000207,MASTER - 64M-Play,MCNS,P64BT,BMASTER,F
I0000000208,TOYQUEST - Home System II,MCNS,P64BT,BTOYQUEST,F
I0000000209,GAMESTAR - GS-Handy,MCNS,PHHLD,BGAMESTAR,F
I0000000210,MASTER - PlayMan,MCNS,PHHLD,BMASTER,F
I0000000211,TOYQUEST - Hand System,MCNS,PHHLD,BTOYQUEST,F
I0000000212,ADONIS - 1600-3,MCOM,PDESK,BADONIS,F
I0000000213,ADONIS - 3300-4,MCOM,PDESK,BADONIS,F
I0000000214,ADONIS - 3600-3,MCOM,PDESK,BADONIS,F
I0000000215,ADONIS - 3600-4,MCOM,PDESK,BADONIS,F
I0000000216,ANORAK - Pro 128,MCOM,PDESK,BANORAK,F
I0000000217,ANORAK - Pro 64,MCOM,PDESK,BANORAK,F
I0000000218,ANORAK - Pro 32,MCOM,PDESK,BANORAK,F
I0000000219,BUTLER-HATCHET - BH Slimline 200,MCOM,PDESK,BBUT_HATC,F
I0000000220,BUTLER-HATCHET - BH Slimline 300,MCOM,PDESK,BBUT_HATC,F
I0000000221,BUTLER-HATCHET - BH Slimline 400,MCOM,PDESK,BBUT_HATC,F
I0000000222,BUTLER-HATCHET - BH Powerline 500,MCOM,PDESK,BBUT_HATC,F
I0000000223,BUTLER-HATCHET - BH Powerline 600,MCOM,PDESK,BBUT_HATC,F
I0000000224,DING - DeskThing 128,MCOM,PDESK,BDING,F
I0000000225,DING - DeskThing 256,MCOM,PDESK,BDING,F
I0000000226,DING - DeskThing 312,MCOM,PDESK,BDING,F
I0000000227,DING - DeskThing 123,MCOM,PDESK,BDING,F
I0000000228,GZK - GDT50,MCOM,PDESK,BGZK,T
I0000000229,GZK - GDT100,MCOM,PDESK,BGZK,T
I0000000230,GZK - GDT150,MCOM,PDESK,BGZK,T
I0000000231,GZK - GDT200,MCOM,PDESK,BGZK,T
I0000000232,GZK - GDT250,MCOM,PDESK,BGZK,T
I0000000233,GZK - GDT300,MCOM,PDESK,BGZK,T
I0000000234,POMGRANATE - Monster,MCOM,PDESK,BPOMGRANA,T
I0000000235,POMGRANATE - Beast,MCOM,PDESK,BPOMGRANA,T
I0000000236,POMGRANATE - Titan,MCOM,PDESK,BPOMGRANA,T
I0000000237,POMGRANATE - Zeus,MCOM,PDESK,BPOMGRANA,T
I0000000238,STELLAR - Stellar L,MCOM,PDESK,BSTELLAR,F
I0000000239,STELLAR - Stellar XL,MCOM,PDESK,BSTELLAR,F
I0000000240,STELLAR - Stellar XXL,MCOM,PDESK,BSTELLAR,F
I0000000241,TANGERINE - TC543,MCOM,PDESK,BTANGERIN,F
I0000000242,TANGERINE - TC765,MCOM,PDESK,BTANGERIN,F
I0000000243,BUTLER-HATCHET - BH Lapline 200,MCOM,PLAPT,BBUT_HATC,F
I0000000244,BUTLER-HATCHET - BH Lapline 300,MCOM,PLAPT,BBUT_HATC,F
I0000000245,BUTLER-HATCHET - BH Lapline 400,MCOM,PLAPT,BBUT_HATC,F
I0000000246,DING - NoteThing 256,MCOM,PLAPT,BDING,F
I0000000247,DING - NoteThing 256 Plus,MCOM,PLAPT,BDING,F
I0000000248,DING - NoteThing 256 Premium,MCOM,PLAPT,BDING,F
I0000000249,GZK - GLT200,MCOM,PLAPT,BGZK,T
I0000000250,GZK - GLT250,MCOM,PLAPT,BGZK,T
I0000000251,GZK - GLT300,MCOM,PLAPT,BGZK,T
I0000000252,POMGRANATE - Feather,MCOM,PLAPT,BPOMGRANA,T
I0000000253,POMGRANATE - Air,MCOM,PLAPT,BPOMGRANA,T
I0000000254,POMGRANATE - Lite,MCOM,PLAPT,BPOMGRANA,T
I0000000255,STELLAR - Stellar L54,MCOM,PLAPT,BSTELLAR,F
I0000000256,STELLAR - Stellar L65,MCOM,PLAPT,BSTELLAR,F
I0000000257,STELLAR - Stellar L76,MCOM,PLAPT,BSTELLAR,F
I0000000258,STELLAR - Stellar L87,MCOM,PLAPT,BSTELLAR,F
I0000000259,TANGERINE - TC123,MCOM,PLAPT,BTANGERIN,F
I0000000260,TANGERINE - TC124,MCOM,PLAPT,BTANGERIN,F
I0000000261,BUTLER-HATCHET - BH 23 Color,MCOM,PPRNT,BBUT_HATC,F
I0000000262,BUTLER-HATCHET - BC 45 Color,MCOM,PPRNT,BBUT_HATC,F
I0000000263,BUTLER-HATCHET - BH 67 Color,MCOM,PPRNT,BBUT_HATC,F
I0000000264,BUTLER-HATCHET - BH 45,MCOM,PPRNT,BBUT_HATC,F
I0000000265,BUTLER-HATCHET - BH 67,MCOM,PPRNT,BBUT_HATC,F
I0000000266,DING - PrintThing Basic,MCOM,PPRNT,BDING,F
I0000000267,DING - PrintThing Basic Color,MCOM,PPRNT,BDING,F
I0000000268,DING - PrintThing Plus,MCOM,PPRNT,BDING,F
I0000000269,DING - PrintThing Plus Color,MCOM,PPRNT,BDING,F
I0000000270,DING - PrintThing Premium,MCOM,PPRNT,BDING,F
I0000000271,DING - PrintThing Premium Color,MCOM,PPRNT,BDING,F
I0000000272,GZK - GPR100,MCOM,PPRNT,BGZK,T
I0000000273,GZK - GPR150,MCOM,PPRNT,BGZK,T
I0000000274,GZK - GPR200,MCOM,PPRNT,BGZK,T
I0000000275,GZK - GPR250,MCOM,PPRNT,BGZK,T
I0000000276,GZK - GPR300,MCOM,PPRNT,BGZK,T
I0000000277,POMGRANATE - Crystal,MCOM,PPRNT,BPOMGRANA,T
I0000000278,POMGRANATE - Blue Sky,MCOM,PPRNT,BPOMGRANA,T
I0000000279,POMGRANATE - Sunshine,MCOM,PPRNT,BPOMGRANA,T
I0000000280,POMGRANATE - Clear Day,MCOM,PPRNT,BPOMGRANA,T
I0000000281,STELLAR - Stellar P12,MCOM,PPRNT,BSTELLAR,F
I0000000282,STELLAR - Stellar P23,MCOM,PPRNT,BSTELLAR,F
I0000000283,STELLAR - Stellar P34,MCOM,PPRNT,BSTELLAR,F
I0000000284,TANGERINE - TP Jet 210,MCOM,PPRNT,BTANGERIN,F
I0000000285,TANGERINE - TP Jet 310,MCOM,PPRNT,BTANGERIN,F
I0000000286,TANGERINE - TP Jet 410,MCOM,PPRNT,BTANGERIN,F
I0000000287,TANGERINE - TP Laser 210,MCOM,PPRNT,BTANGERIN,F
I0000000288,TANGERINE - TP Laser 310,MCOM,PPRNT,BTANGERIN,F
I0000000289,TANGERINE - TP Laser 410,MCOM,PPRNT,BTANGERIN,F
I0000000290,TANGERINE - TP Laser 510,MCOM,PPRNT,BTANGERIN,F
I0000000291,BIMBI - Manhunt,MGMS,PACTI,BBIMBI,F
I0000000292,BONZAI - Submarine Games,MGMS,PACTI,BBONZAI,F
I0000000293,GAMESTAR - Dracula,MGMS,PACTI,BGAMESTAR,F
I0000000294,MASTER - Run the Gauntlet,MGMS,PACTI,BMASTER,F
I0000000295,TOYQUEST - Samurai Sushi,MGMS,PACTI,BTOYQUEST,F
I0000000296,BIMBI - Packed Man,MGMS,PARCC,BBIMBI,F
I0000000297,BONZAI - Spaced Invaders,MGMS,PARCC,BBONZAI,F
I0000000298,GAMESTAR - Donky Toyz,MGMS,PARCC,BGAMESTAR,F
I0000000299,MASTER - Shoe*Bert,MGMS,PARCC,BMASTER,F
I0000000300,TOYQUEST - LeapFrog,MGMS,PARCC,BTOYQUEST,F
I0000000301,BIMBI - Martian Arts,MGMS,PFIGH,BBIMBI,F
I0000000302,BONZAI - Street Lighter II,MGMS,PFIGH,BBONZAI,F
I0000000303,GAMESTAR - Hit-em hi,MGMS,PFIGH,BGAMESTAR,F
I0000000304,MASTER - Fists of Steel,MGMS,PFIGH,BMASTER,F
I0000000305,TOYQUEST - Mr. Myagi The Avenger,MGMS,PFIGH,BTOYQUEST,F
I0000000306,BIMBI - Up And Away,MGMS,PFSIM,BBIMBI,F
I0000000307,BONZAI - Sky High,MGMS,PFSIM,BBONZAI,F
I0000000308,GAMESTAR - Dakota Adventure,MGMS,PFSIM,BGAMESTAR,F
I0000000309,MASTER - Air Traffic Control Madness,MGMS,PFSIM,BMASTER,F
I0000000310,TOYQUEST - World Of Wings,MGMS,PFSIM,BTOYQUEST,F
I0000000311,BIMBI - The Maze,MGMS,PPUZZ,BBIMBI,F
I0000000312,BONZAI - MindBoggle,MGMS,PPUZZ,BBONZAI,F
I0000000313,GAMESTAR - Pro Crossword,MGMS,PPUZZ,BGAMESTAR,F
I0000000314,MASTER - The Maze II,MGMS,PPUZZ,BMASTER,F
I0000000315,TOYQUEST - The Maze III,MGMS,PPUZZ,BTOYQUEST,F
I0000000316,BIMBI - SpeedChaser 2000,MGMS,PRACE,BBIMBI,F
I0000000317,BONZAI - A Day at Daytona,MGMS,PRACE,BBONZAI,F
I0000000318,GAMESTAR - Around the world in a day,MGMS,PRACE,BGAMESTAR,F
I0000000319,MASTER - India 500,MGMS,PRACE,BMASTER,F
I0000000320,BIMBI - SpeedChaser 1999,MGMS,PRACE,BTOYQUEST,F
I0000000321,BIMBI - Winchester Willy,MGMS,PSHOT,BBIMBI,F
I0000000322,BONZAI - LaserQuest,MGMS,PSHOT,BBONZAI,F
I0000000323,GAMESTAR - The Dark Tower,MGMS,PSHOT,BGAMESTAR,F
I0000000324,MASTER - Sci-Fi Shooter,MGMS,PSHOT,BMASTER,F
I0000000325,TOYQUEST - Showdown,MGMS,PSHOT,BTOYQUEST,F
I0000000326,BIMBI - World Cup Soccer,MGMS,PSPOR,BBIMBI,F
I0000000327,BIMBI - Pro Wrestling,MGMS,PSPOR,BBIMBI,F
I0000000328,BONZAI - Celebrity Pro Golf,MGMS,PSPOR,BBONZAI,F
I0000000329,BONZAI - The Main Event,MGMS,PSPOR,BBONZAI,F
I0000000330,GAMESTAR - Grand Slam Tennis,MGMS,PSPOR,BGAMESTAR,F
I0000000331,GAMESTAR - Karch Kirely Pro Beach Volley,MGMS,PSPOR,BGAMESTAR,F
I0000000332,MASTER - Major League Manager,MGMS,PSPOR,BMASTER,F
I0000000333,MASTER - Super Bowl ,MGMS,PSPOR,BMASTER,F
I0000000334,MASTER - Downhill Fast,MGMS,PSPOR,BMASTER,F
I0000000335,TOYQUEST - Olympic Trivia,MGMS,PSPOR,BTOYQUEST,F
I0000000336,TOYQUEST - 180! - Barneys Super Dart,MGMS,PSPOR,BTOYQUEST,F
I0000000337,TOYQUEST - All Star Hockey,MGMS,PSPOR,BTOYQUEST,F
I0000000338,BISHOPS - BAM-3010,MHFI,PAMPL,BBISHOPS,F
I0000000339,BISHOPS - BAM-3020,MHFI,PAMPL,BBISHOPS,F
I0000000340,BISHOPS - BAM-4010,MHFI,PAMPL,BBISHOPS,F
I0000000341,BODI - AMP 2354-X,MHFI,PAMPL,BBODI,F
I0000000342,BODI - AMP 2332-Z,MHFI,PAMPL,BBODI,F
I0000000343,BOP - ZX-345-D,MHFI,PAMPL,BBOP,F
I0000000344,BOP - SW-555-X,MHFI,PAMPL,BBOP,F
I0000000345,BOP - AW-333-S,MHFI,PAMPL,BBOP,F
I0000000346,BOP - RE-567-Y,MHFI,PAMPL,BBOP,F
I0000000347,BOP - RE-657-Y,MHFI,PAMPL,BBOP,F
I0000000348,BUNDY - 123AMP,MHFI,PAMPL,BBUNDY,T
I0000000349,BUNDY - 234AMP,MHFI,PAMPL,BBUNDY,T
I0000000350,BUNDY - 345AMP,MHFI,PAMPL,BBUNDY,T
I0000000351,BUNDY - 456AMP,MHFI,PAMPL,BBUNDY,T
I0000000352,BUNDY - 567AMP,MHFI,PAMPL,BBUNDY,T
I0000000353,GAPSONIC - GSA-5467,MHFI,PAMPL,BGAPSONIC,T
I0000000354,GAPSONIC - GSA-7133,MHFI,PAMPL,BGAPSONIC,T
I0000000355,GAPSONIC - GSA-4352,MHFI,PAMPL,BGAPSONIC,T
